"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/minErr.js",61,3,1,2,0,5,0,0,0,0,0,0,0,0,"0 3 2 0 0 0 0 0 0 0 0",2,"1 1 1 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/anchorScroll.js",268,11,5,6,2,25,0,0,0,0,0,0,0,0,"7 14 4 0 0 0 0 0 0 0 0",2,"6 3 1 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/animate.js",372,28,5,23,3,70,0,0,0,0,0,0,0,0,"14 31 18 3 4 0 0 0 0 0 0",4,"5 7 5 7 4 0 0 0 0 0 0",4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/asyncCallback.js",12,4,1,3,0,2,0,0,0,0,0,0,0,0,"0 1 0 1 0 0 0 0 0 0 0",3,"1 2 1 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/browser.js",464,25,9,16,1,61,0,0,0,0,2,0,0,0,"14 31 15 1 0 0 0 0 0 0 0",3,"9 10 3 1 2 0 0 0 0 0 0",4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/cacheFactory.js",403,16,5,11,0,14,0,0,0,0,0,0,0,0,"1 6 4 3 0 0 0 0 0 0 0",3,"7 5 4 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/compile.js",2601,82,35,47,14,353,0,0,0,0,0,0,0,0,"26 167 94 20 25 13 4 1 1 2 0",9,"5 22 27 6 8 8 2 1 1 1 0 1",11
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/controller.js",149,7,2,5,0,20,0,0,0,0,0,0,0,0,"0 9 3 4 4 0 0 0 0 0 0",4,"3 0 2 0 2 0 0 0 0 0 0",4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/a.js",34,3,0,3,0,6,0,0,0,0,0,0,0,0,"1 4 1 0 0 0 0 0 0 0 0",2,"0 1 2 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/attrs.js",425,12,0,12,2,18,0,0,0,0,0,0,0,0,"0 6 12 0 0 0 0 0 0 0 0",2,"3 4 2 3 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/directives.js",12,1,1,0,0,2,0,0,0,0,0,0,0,0,"0 2 0 0 0 0 0 0 0 0 0",1,"0 1 0 0 0 0 0 0 0 0 0",1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/form.js",519,29,2,27,2,51,0,0,0,0,0,0,0,0,"11 13 17 6 4 0 0 0 0 0 0",4,"10 11 4 2 1 1 0 0 0 0 0",5
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/input.js",3217,136,28,108,8,330,0,0,0,0,0,0,0,0,"47 164 80 18 12 3 5 0 1 0 0",8,"33 51 23 6 14 1 5 1 1 0 1",10
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngBind.js",208,13,0,13,9,17,0,0,0,0,0,0,0,0,"1 9 7 0 0 0 0 0 0 0 0",2,"1 6 2 4 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngClass.js",358,14,8,6,0,41,0,0,0,0,0,0,0,0,"0 22 18 1 0 0 0 0 0 0 0",3,"0 7 6 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngCloak.js",65,1,0,1,0,3,0,0,0,0,0,0,0,0,"0 2 1 0 0 0 0 0 0 0 0",2,"0 0 1 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngController.js",237,1,0,1,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"1 0 0 0 0 0 0 0 0 0 0",0
